date,confirmed,deaths,tests,positives,recovered,hosp,icu,vent,vaccines,population,administrative_area_level,administrative_area_level_1,state,administrative_area_level_3,id,active,date_int,date_str
30/01/2020,0,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,0,43860,30/01/2020
30/01/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43860,30/01/2020
30/01/2020,3,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,3,43860,30/01/2020
30/01/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43860,30/01/2020
31/01/2020,9,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,9,43861,31/01/2020
31/01/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43861,31/01/2020
31/01/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43861,31/01/2020
31/01/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43861,31/01/2020
31/01/2020,2,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,2,43861,31/01/2020
31/01/2020,0,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,0,43861,31/01/2020
31/01/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43861,31/01/2020
31/01/2020,3,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,3,43861,31/01/2020
31/01/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43861,31/01/2020
1/02/2020,10,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,10,43862,1/02/2020
1/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43862,1/02/2020
1/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43862,1/02/2020
1/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43862,1/02/2020
1/02/2020,2,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,2,43862,1/02/2020
1/02/2020,0,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,0,43862,1/02/2020
1/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43862,1/02/2020
1/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43862,1/02/2020
1/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43862,1/02/2020
2/02/2020,12,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,12,43863,2/02/2020
2/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43863,2/02/2020
2/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43863,2/02/2020
2/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43863,2/02/2020
2/02/2020,2,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,2,43863,2/02/2020
2/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43863,2/02/2020
2/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43863,2/02/2020
2/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43863,2/02/2020
2/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43863,2/02/2020
3/02/2020,12,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,12,43864,3/02/2020
3/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43864,3/02/2020
3/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43864,3/02/2020
3/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43864,3/02/2020
3/02/2020,2,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,2,43864,3/02/2020
3/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43864,3/02/2020
3/02/2020,0,0,0,0,0,0,0,0,0,535500,2,Australia,Tasmania,NA,86525f8e,0,43864,3/02/2020
3/02/2020,4,0,0,0,0,0,0,0,0,6629870,2,Australia,Victoria,NA,6c5dccdb,4,43864,3/02/2020
3/02/2020,0,0,0,0,0,0,0,0,0,2630557,2,Australia,Western Australia,NA,1f999f12,0,43864,3/02/2020
4/02/2020,13,0,0,0,0,0,0,0,0,25459470,1,Australia,NA,NA,99999999,13,43865,4/02/2020
4/02/2020,0,0,0,0,0,0,0,0,0,428060,2,Australia,Australian Capital Territory,NA,f42f23e3,0,43865,4/02/2020
4/02/2020,4,0,0,0,0,0,0,0,0,8117976,2,Australia,New South Wales,NA,5c4dd6e0,4,43865,4/02/2020
4/02/2020,0,0,0,0,0,0,0,0,0,245562,2,Australia,Northern Territory,NA,a079fdb2,0,43865,4/02/2020
4/02/2020,3,0,0,0,0,0,0,0,0,5115451,2,Australia,Queensland,NA,36068882,3,43865,4/02/2020
4/02/2020,2,0,0,0,0,0,0,0,0,1756494,2,Australia,South Australia,NA,165128d0,2,43865,4/02/2020
