date,us_date,confirmed,deaths,active,tests,positives,recovered,hosp,icu,vent,vaccines,vaccines_1,vaccines_2,population,administrative_area_level_2
2/04/2020,2020-04-02,5137,25,4540,266897,5137,572,415,81,32,0,0,0,25459470,NA
3/04/2020,2020-04-03,5362,29,4698,275372,5362,635,410,86,32,0,0,0,25459470,NA
4/04/2020,2020-04-04,5552,31,4835,284891,5552,686,460,92,33,0,0,0,25459470,NA
5/04/2020,2020-04-05,5693,36,4869,297144,5693,788,460,96,33,0,0,0,25459470,NA
6/04/2020,2020-04-06,5799,41,4909,302663,5799,849,458,96,35,0,0,0,25459470,NA
7/04/2020,2020-04-07,5918,49,3320,310700,5918,2549,305,93,37,0,0,0,25459470,NA
8/04/2020,2020-04-08,6023,51,3157,319368,6023,2815,263,87,36,0,0,0,25459470,NA
9/04/2020,2020-04-09,6108,52,3067,330134,6108,2989,262,81,36,0,0,0,25459470,NA
10/04/2020,2020-04-10,6214,55,3017,338346,6214,3142,236,74,38,0,0,0,25459470,NA
11/04/2020,2020-04-11,6302,57,2979,347847,6302,3266,240,80,38,0,0,0,25459470,NA
12/04/2020,2020-04-12,6324,60,2926,353941,6324,3338,239,81,35,0,0,0,25459470,NA
13/04/2020,2020-04-13,6365,62,2809,362136,6365,3494,227,79,46,0,0,0,25459470,NA
14/04/2020,2020-04-14,6414,63,2753,366493,6414,3598,230,80,44,0,0,0,25459470,NA
15/04/2020,2020-04-15,6637,64,2885,371377,6637,3688,214,73,42,0,0,0,25459470,NA
16/04/2020,2020-04-16,6667,64,2856,380003,6667,3747,201,67,38,0,0,0,25459470,NA
17/04/2020,2020-04-17,6714,66,2829,391530,6714,3819,192,60,38,0,0,0,25459470,NA
18/04/2020,2020-04-18,6756,69,2524,406510,6756,4163,184,56,34,0,0,0,25459470,NA
19/04/2020,2020-04-19,6800,71,2499,420996,6800,4230,178,48,33,0,0,0,25459470,NA
20/04/2020,2020-04-20,6813,72,2483,431734,6813,4258,170,49,32,0,0,0,25459470,NA
21/04/2020,2020-04-21,6835,72,2068,439842,6835,4695,167,47,33,0,0,0,25459470,NA
22/04/2020,2020-04-22,6842,75,1832,452441,6842,4935,162,47,31,0,0,0,25459470,NA
23/04/2020,2020-04-23,6850,76,1729,466659,6850,5045,152,46,29,0,0,0,25459470,NA
24/04/2020,2020-04-24,6867,79,1652,482370,6867,5136,139,42,28,0,0,0,25459470,NA
25/04/2020,2020-04-25,6885,81,1431,494257,6885,5373,129,43,28,0,0,0,25459470,NA
26/04/2020,2020-04-26,6904,84,1279,506449,6904,5541,115,43,25,0,0,0,25459470,NA
27/04/2020,2020-04-27,6911,84,1239,517063,6911,5588,113,44,27,0,0,0,25459470,NA
28/04/2020,2020-04-28,6923,85,1208,530679,6923,5630,110,43,27,0,0,0,25459470,NA
29/04/2020,2020-04-29,6936,90,1176,544410,6936,5670,94,38,26,0,0,0,25459470,NA
30/04/2020,2020-04-30,6944,92,1135,563641,6944,5717,89,34,22,0,0,0,25459470,NA
1/05/2020,2020-05-01,6957,94,1116,588868,6957,5747,83,29,21,0,0,0,25459470,NA
2/05/2020,2020-05-02,6972,94,1082,611583,6972,5796,79,28,21,0,0,0,25459470,NA
3/05/2020,2020-05-03,6990,96,1077,633107,6990,5817,75,28,20,0,0,0,25459470,NA
4/05/2020,2020-05-04,7014,96,1055,650214,7014,5863,70,28,20,0,0,0,25459470,NA
5/05/2020,2020-05-05,7040,98,1052,664756,7040,5890,66,27,20,0,0,0,25459470,NA
6/05/2020,2020-05-06,7064,98,987,688656,7064,5979,62,27,18,0,0,0,25459470,NA
7/05/2020,2020-05-07,7086,98,950,722549,7086,6038,58,23,17,0,0,0,25459470,NA
8/05/2020,2020-05-08,7104,98,922,757250,7104,6084,56,21,16,0,0,0,25459470,NA
9/05/2020,2020-05-09,7118,98,883,795456,7118,6137,51,19,15,0,0,0,25459470,NA
10/05/2020,2020-05-10,7130,98,866,827872,7130,6166,43,18,15,0,0,0,25459470,NA
11/05/2020,2020-05-11,7137,98,857,855119,7137,6182,49,16,14,0,0,0,25459470,NA
12/05/2020,2020-05-12,7157,98,826,877927,7157,6233,47,16,15,0,0,0,25459470,NA
13/05/2020,2020-05-13,7168,99,795,909025,7168,6274,50,17,14,0,0,0,25459470,NA
