Column1,iso_code,Latitude,Longitude,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
59647,LAO,18,105,Asia,Laos,25/09/2021 0:00,21527,447,387.571,16,0,0,2917.191,60.574,52.521,2.168,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,NA,NA,NA
60351,LBN,33.8333,35.8333,Asia,Lebanon,25/09/2021 0:00,621735,580,581.857,8277,9,6.429,91848.298,85.683,85.957,1222.753,1.33,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2810023,1550755,1259268,NA,988,14867,41.51,22.91,18.6,NA,2196,NA,6769151,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,0.744,NA,NA,NA
60785,LBR,6.5,-9.5,Africa,Liberia,25/09/2021 0:00,5792,-123,-16,283,0,0,1118.102,-23.744,-3.089,54.631,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5180208,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,NA,NA,NA
61356,LBY,25,17,Africa,Libya,25/09/2021 0:00,335991,0,881,4588,0,14,48284.712,0,126.607,659.334,0,2.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6958538,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,0.724,NA,NA,NA
61927,LBY,25,17,Africa,Libya,25/09/2021 0:00,335991,0,881,4588,0,14,48284.712,0,126.607,659.334,0,2.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6958538,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,0.724,NA,NA,NA
62589,LCA,13.8833,-61.1333,North America,Saint Lucia,25/09/2021 0:00,11053,92,93.429,183,2,4.714,59940.022,498.913,506.66,992.402,10.846,25.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,75827,44872,30955,NA,828,494,41.12,24.33,16.79,NA,2679,NA,184401,293.187,34.9,9.721,6.405,12951.839,NA,204.62,11.62,NA,NA,87.202,1.3,76.2,0.759,NA,NA,NA
63264,LIE,47.1667,9.5333,Europe,Liechtenstein,25/09/2021 0:00,3439,0,4.857,60,0,0,89899.096,0,126.971,1568.463,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38254,237.012,,,,,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919,NA,NA,NA
63847,LKA,7,81,Asia,Sri Lanka,25/09/2021 0:00,512531,1159,1396.143,12609,79,83.857,23841.639,53.914,64.945,586.539,3.675,3.901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25813491,14302376,11511115,NA,223613,160630,120.08,66.53,53.55,NA,7472,NA,21497306,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.782,NA,NA,NA
64170,LSO,-29.5,28.5,Africa,Lesotho,25/09/2021 0:00,14395,0,0,403,0,0,6667.232,0,0,186.655,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159067,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,NA,54.33,0.527,NA,NA,NA
64502,LTU,56,24,Europe,Lithuania,25/09/2021 0:00,324329,1609,1323.286,4896,11,17,120574.587,598.172,491.953,1820.168,4.089,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2689862,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.882,NA,NA,NA
