Column1,iso_code,Latitude,Longitude,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
81277,NPL,28,84,Asia,Nepal,25/09/2021 0:00,790662,790,964.571,11087,6,8.429,26644.116,26.622,32.505,373.615,0.202,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,12543333,6528392,6014941,NA,216725,111787,42.27,22,20.27,NA,3767,NA,29674920,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,NA,NA,NA
81751,NZL,-41,174,Oceania,New Zealand,25/09/2021 0:00,4184,21,17.571,27,0,0,860.792,4.32,3.615,5.555,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4860642,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.931,NA,NA,NA
82647,OMN,21,57,Asia,Oman,25/09/2021 0:00,303551,0,34.571,4093,0,0.143,58113.948,0,6.619,783.593,0,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5223376,14.98,30.7,2.355,1.53,37960.709,NA,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,NA,NA,NA
82984,PAK,30,70,Asia,Pakistan,25/09/2021 0:00,1236888,0,1863.857,27524,0,45.429,5492.4,0,8.276,122.22,0,0.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.98,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,NA,NA,NA
83792,PAN,9,-80,North America,Panama,25/09/2021 0:00,465993,257,279.286,7201,4,4.429,106352.658,58.655,63.741,1643.47,0.913,1.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,5122694,2915017,2207676,NA,11915,11430,116.91,66.53,50.39,NA,2609,NA,4381583,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,NA,2.3,78.51,0.815,NA,NA,NA
84268,PER,-10,-76,South America,Peru,25/09/2021 0:00,2172261,887,834.571,199228,46,36,65116.879,26.589,25.018,5972.167,1.379,1.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.777,NA,NA,NA
84872,PHL,13,122,Asia,Philippines,25/09/2021 0:00,2470175,16847,17517.857,37405,0,117.429,22244.428,151.711,157.752,336.84,0,1.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111046910,351.873,25.2,4.803,2.661,7599.188,NA,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,NA,NA,NA
85287,PLW,7.5,134.5,Oceania,Palau,25/09/2021 0:00,5,0,0,NA,NA,0,275.118,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18174,47.237,,,,13240.405,NA,NA,15.89,7.7,22.7,NA,4.8,73.7,0.826,NA,NA,NA
85584,PNG,-6,147,Oceania,Papua New Guinea,25/09/2021 0:00,19278,0,105.143,225,0,3,2114.046,0,11.53,24.674,0,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9119005,18.22,22.6,3.808,2.142,3823.194,NA,561.494,17.65,23.5,48.8,NA,NA,64.5,0.555,NA,NA,NA
86397,POL,52,20,Europe,Poland,25/09/2021 0:00,2902591,917,742.286,75571,20,12,76794.216,24.261,19.639,1999.391,0.529,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37797000,124.027,41.8,16.763,10.202,27216.445,NA,227.331,5.91,23.3,33.1,NA,6.62,78.73,0.88,NA,NA,NA
86501,PRT,39.5,-8,Europe,Portugal,25/09/2021 0:00,1066346,713,710.714,17952,5,7.143,104873.532,70.122,69.898,1765.552,0.492,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,NA,3.39,82.05,0.864,NA,NA,NA
87437,PRY,-23,-58,South America,Paraguay,25/09/2021 0:00,459779,0,28.429,16142,0,2.714,63684.469,0,3.938,2235.845,0,0.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4488153,2621847,1866306,NA,10430,10857,62.17,36.32,25.85,NA,1504,NA,7219641,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,NA,NA,NA
88008,PSE,32,35.25,Asia,Palestine,25/09/2021 0:00,395677,994,1870.429,4018,21,15.571,75760.193,190.321,358.131,769.326,4.021,2.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5222756,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,NA,NA,NA,NA,74.05,0.708,NA,NA,NA
88819,QAT,25.5,51.25,Asia,Qatar,25/09/2021 0:00,236231,108,120.714,604,0,0,80610.498,36.853,41.192,206.106,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4690049,NA,NA,NA,NA,5290,160.04,NA,NA,NA,1805,NA,2930524,227.322,31.9,1.307,0.617,116935.6,NA,176.69,16.52,0.8,26.9,NA,1.2,80.23,0.848,NA,NA,NA
89350,ROU,46,25,Europe,Romania,25/09/2021 0:00,1187773,7676,6125.714,36230,121,110.571,62096.777,401.301,320.252,1894.105,6.326,5.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19127772,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828,NA,NA,NA
89876,RUS,60,100,Europe,Russia,25/09/2021 0:00,7291097,21583,20121.857,199450,806,794.143,49969.131,147.918,137.904,1366.92,5.524,5.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,89204756,47547409,41657347,661446,176373,243233,61.14,32.59,28.55,0.45,1667,NA,145912022,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,NA,NA,NA
90480,RUS,60,100,Europe,Russia,25/09/2021 0:00,7291097,21583,20121.857,199450,806,794.143,49969.131,147.918,137.904,1366.92,5.524,5.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,89204756,47547409,41657347,661446,176373,243233,61.14,32.59,28.55,0.45,1667,NA,145912022,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824,NA,NA,NA
91164,RWA,-2,30,Africa,Rwanda,25/09/2021 0:00,96727,157,230,1248,6,6,7285.57,11.825,17.324,94.001,0.452,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13276517,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,69.02,0.543,NA,NA,NA
91614,SAU,25,45,Asia,Saudi Arabia,25/09/2021 0:00,546882,147,67.286,8694,15,6.143,15474.575,4.16,1.904,246.005,0.424,0.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,41490683,23228976,18261707,NA,85731,113230,117.4,65.73,51.67,NA,3204,NA,35340680,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,75.13,0.854,NA,NA,NA
91925,SDN,15,30,Africa,Sudan,25/09/2021 0:00,38077,0,11.714,2894,0,2.714,847.864,0,0.261,64.441,0,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44909351,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,65.31,0.51,NA,NA,NA
92626,SEN,14,-14,Africa,Senegal,25/09/2021 0:00,73728,9,15.143,1855,1,1.429,4287.432,0.523,0.881,107.872,0.058,0.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17196308,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.512,NA,NA,NA
93486,SGP,1.3667,103.8,Asia,Singapore,25/09/2021 0:00,85953,1443,1308.714,76,3,2.286,14576.498,244.714,221.941,12.889,0.509,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5896684,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938,NA,NA,NA
94048,SLB,-8,159,Oceania,Solomon Islands,25/09/2021 0:00,20,0,0,NA,NA,0,28.409,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,703995,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,NA,NA,35.89,1.4,73,0.567,NA,NA,NA
94230,SLE,8.5,-11.5,Africa,Sierra Leone,25/09/2021 0:00,6393,0,0.143,121,0,0,785.251,0,0.018,14.862,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8141343,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,54.7,0.452,NA,NA,NA
94992,SLV,13.8333,-88.9167,North America,El Salvador,25/09/2021 0:00,102024,0,331.857,3174,10,12,15651.454,0,50.91,486.922,1.534,1.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6518500,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,NA,NA,NA
95483,SMR,43.7667,12.4167,Europe,San Marino,25/09/2021 0:00,5427,0,2.143,90,0,0,159570.714,0,63.007,2646.281,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34010,556.667,,,,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,NA,NA,NA,NA
95930,SOM,10,49,Africa,Somalia,25/09/2021 0:00,19723,140,102.714,1103,4,5.714,1205.599,8.558,6.279,67.423,0.245,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16359500,23.5,16.8,2.731,1.496,,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,NA,NA,NA,NA
96616,SRB,44,21,Europe,Serbia,25/09/2021 0:00,905677,6192,6463.714,8008,42,39.286,133097.836,909.973,949.904,1176.852,6.172,5.773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6804596,80.291,41.2,17.366,,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,NA,NA,NA
97272,SSD,8,30,Africa,South Sudan,25/09/2021 0:00,11926,0,17.286,128,0,1,1047.852,0,1.519,11.246,0,0.088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11381377,,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,0.433,NA,NA,NA
97814,STP,1,7,Africa,Sao Tome and Principe,25/09/2021 0:00,3338,43,42.571,49,2,0.857,14944.217,192.511,190.592,219.373,8.954,3.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223364,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,NA,NA,41.34,2.9,70.39,0.625,NA,NA,NA
98521,SUR,4,-56,South America,Suriname,25/09/2021 0:00,39908,299,451.714,845,4,6,67435.172,505.24,763.291,1427.852,6.759,10.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,391985,224646,167339,NA,1304,2086,66.24,37.96,28.28,NA,3525,NA,591798,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,NA,NA,NA
99072,SVK,48.6667,19.5,Europe,Slovakia,25/09/2021 0:00,407799,1039,819,12596,2,3.857,74678.532,190.268,149.98,2306.653,0.366,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.86,NA,NA,NA
99605,SVN,46,15,Europe,Slovenia,25/09/2021 0:00,289225,1006,898.571,4531,5,5.286,139135.902,483.951,432.271,2179.704,2.405,2.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2102314,1114247,988067,NA,1232,7652,101.13,53.6,47.53,NA,3681,NA,2078723,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,0.917,NA,NA,NA
100068,SWE,62,15,Europe,Sweden,25/09/2021 0:00,1149407,0,632.143,14821,0,6.571,113128.84,0,62.218,1458.737,0,0.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.04,10160159,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.945,NA,NA,NA
100744,SWZ,-26.5,31.5,Africa,Eswatini,25/09/2021 0:00,45742,41,55.714,1212,2,2.571,39016.726,34.972,47.523,1033.804,1.706,2.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172369,79.492,21.5,3.163,1.845,7738.975,NA,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,NA,NA,NA
101232,SYC,-4.5833,55.6667,Africa,Seychelles,25/09/2021 0:00,21281,0,98.286,110,0,0.571,215155.192,0,993.688,1112.122,0,5.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98910,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796,NA,NA,NA
101742,SYR,35,38,Asia,Syria,25/09/2021 0:00,32580,442,294.429,2198,11,11.143,1782.695,24.185,16.11,120.269,0.602,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18275704,,21.7,,2.577,,NA,376.264,,NA,NA,70.598,1.5,72.7,0.567,NA,NA,NA
102701,TCD,15,19,Africa,Chad,25/09/2021 0:00,5031,0,0.714,174,0,0,297.429,0,0.042,10.287,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16914985,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,0.398,NA,NA,NA
103243,TGO,8,1.1667,Africa,Togo,25/09/2021 0:00,25163,80,92,222,3,1.286,2967.95,9.436,10.851,26.185,0.354,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8478242,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,NA,NA,NA
103876,THA,15,100,Asia,Thailand,25/09/2021 0:00,1549285,11975,12340.571,16143,127,128.143,22148.196,171.192,176.418,230.776,1.816,1.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69950844,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,NA,NA,NA
104488,TJK,39,71,Asia,Tajikistan,25/09/2021 0:00,17484,0,0,125,0,0,1793.3,0,0,12.821,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9749625,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,0.668,NA,NA,NA
104876,TLS,-8.55,125.5167,Asia,Timor,25/09/2021 0:00,19350,42,50.857,113,2,1.429,14398.661,31.253,37.844,84.085,1.488,1.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343875,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,NA,NA,NA
105348,TTO,11,-61,North America,Trinidad and Tobago,25/09/2021 0:00,49822,134,203.143,1451,10,5.429,35501.584,95.484,144.753,1033.937,7.126,3.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1041836,565940,475896,NA,0,3115,74.24,40.33,33.91,NA,2220,NA,1403374,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,0.796,NA,NA,NA
106383,TUN,34,9,Africa,Tunisia,25/09/2021 0:00,704914,1855,812.857,24732,56,41.429,59058.976,155.415,68.103,2072.092,4.692,3.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,NA,NA,NA
106483,TUR,39,35,Asia,Turkey,25/09/2021 0:00,7013609,26145,27539.714,62938,193,225.286,82471.582,307.434,323.834,740.075,2.269,2.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,107641923,53390829,43439793,10811301,261628,392547,126.57,62.78,51.08,12.71,4616,NA,85042736,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82,NA,NA,NA
107364,TWN,23.5,121,Asia,Taiwan,25/09/2021 0:00,16181,5,7.429,841,0,0.286,678.306,0.21,0.311,35.255,0,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23855008,,42.2,,8.353,,NA,103.957,,NA,NA,NA,NA,80.46,NA,NA,NA,NA
107983,TWN,23.5,121,Asia,Taiwan,25/09/2021 0:00,16181,5,7.429,841,0,0.286,678.306,0.21,0.311,35.255,0,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23855008,,42.2,,8.353,,NA,103.957,,NA,NA,NA,NA,80.46,NA,NA,NA,NA
108540,TZA,-6,35,Africa,Tanzania,25/09/2021 0:00,1367,0,0,50,0,0,22.228,0,0,0.813,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61498438,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,NA,NA,NA
109337,UGA,1,32,Africa,Uganda,25/09/2021 0:00,123066,163,140.429,3143,3,2.857,2611.561,3.459,2.98,66.697,0.064,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47123533,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,NA,NA,NA
109911,UKR,49,32,Europe,Ukraine,25/09/2021 0:00,2495068,8725,6594.286,59202,149,119.857,57401.666,200.728,151.708,1362.004,3.428,2.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,12203210,6759689,5443521,NA,64221,111770,28.07,15.55,12.52,NA,2571,NA,43466822,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.779,NA,NA,NA
110473,URY,-33,-56,South America,Uruguay,25/09/2021 0:00,388424,111,124.143,6052,1,0.571,111451.093,31.849,35.621,1736.51,0.287,0.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6161563,2727819,2562679,871065,565,20566,176.79,78.27,73.53,24.99,5901,NA,3485152,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,0.817,NA,NA,NA
110840,USA,38,-97,North America,United States,25/09/2021 0:00,42940411,86687,127110.429,687746,662,2039.143,128983.078,260.388,381.81,2065.83,1.988,6.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,389372689,213177462,183353326,2527656,805580,637343,115.77,63.38,54.52,0.75,1895,NA,332915074,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926,NA,NA,NA
111521,UZB,41,64,Asia,Uzbekistan,25/09/2021 0:00,171588,508,532.857,1218,6,4.857,5056.258,14.969,15.702,35.891,0.177,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33935765,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.72,NA,NA,NA
111818,VAT,41.9,12.45,Europe,Vatican,25/09/2021 0:00,27,0,0,NA,NA,0,33251.232,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,,,,,,NA,NA,,NA,NA,NA,NA,75.12,NA,NA,NA,NA
112733,VCT,13.25,-61.2,North America,Saint Vincent and the Grenadines,25/09/2021 0:00,3247,89,74.143,17,0,0.429,29181.533,799.863,666.339,152.783,0,3.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111269,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.738,NA,NA,NA
113294,VCT,13.25,-61.2,North America,Saint Vincent and the Grenadines,25/09/2021 0:00,3247,89,74.143,17,0,0.429,29181.533,799.863,666.339,152.783,0,3.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111269,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.738,NA,NA,NA
113855,VCT,13.25,-61.2,North America,Saint Vincent and the Grenadines,25/09/2021 0:00,3247,89,74.143,17,0,0.429,29181.533,799.863,666.339,152.783,0,3.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111269,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.738,NA,NA,NA
114419,VEN,8,-66,South America,Venezuela,25/09/2021 0:00,362040,2407,1234.143,4395,32,17.143,12612.46,83.853,42.994,153.109,1.115,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28704947,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,0.711,NA,NA,NA
