date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum,positive_rate
25/01/2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,New South Wales,NSW,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,Queensland,QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,Victoria,VIC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,New South Wales,NSW,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,Queensland,QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,Victoria,VIC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/01/2020,Western Australia,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,New South Wales,NSW,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,Northern Territory,NT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,Queensland,QLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,South Australia,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,Tasmania,TAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/01/2020,Victoria,VIC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
